subscriberId,monthlySpend,dataUsageGb,voiceMinutes,churnRisk,valueScore,acceptedCampaigns,rejectedCampaigns,tariff,segment
SUB-00766,329.36,13.7,1217,0.0551,0.2955,0,1,Aile Paketi,YUKSEK_DEGER
SUB-00767,235.78,11.7,398,0.1176,0.2261,0,0,Aile Paketi,YENI_ABONE
SUB-00768,137.44,9.98,66,0.3846,0.4927,1,0,Standart Tarife,BELIRSIZ
SUB-00769,126.42,42.48,257,0.3816,0.428,2,2,Genç Tarife,BELIRSIZ
SUB-00770,85.71,13.39,496,0.0429,0.5001,1,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00771,185.13,21.99,358,0.3441,0.3982,1,2,Standart Tarife,RISKLI_KAYIP
SUB-00772,90.76,25.23,475,0.4989,0.6575,0,1,Standart Tarife,BELIRSIZ
SUB-00773,116.23,24.99,431,0.7468,0.5003,2,3,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00774,97.16,17.83,438,0.2236,0.6174,1,2,Aile Paketi,YUKSEK_DEGER
SUB-00775,227.45,41.1,71,0.086,0.3356,1,1,Genç Tarife,YUKSEK_DEGER
SUB-00776,133.96,20.86,279,0.2004,0.4991,1,1,Standart Tarife,BELIRSIZ
SUB-00777,159.6,9.79,261,0.272,0.355,1,3,Öğrenci Tarifesi,BELIRSIZ
SUB-00778,65.9,12.1,258,0.7368,0.2226,1,3,Premium Tarife,RISKLI_KAYIP
SUB-00779,96.72,4.24,576,0.0921,0.2129,0,3,Öğrenci Tarifesi,PASIF
SUB-00780,161.71,19.16,164,0.5931,0.2909,0,0,Genç Tarife,RISKLI_KAYIP
SUB-00781,45.31,23.22,72,0.2417,0.4359,0,2,Aile Paketi,BELIRSIZ
SUB-00782,127.79,24.54,254,0.3524,0.3077,1,4,Genç Tarife,BELIRSIZ
SUB-00783,145.51,21.73,218,0.2591,0.3272,2,1,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00784,59.99,13.73,400,0.946,0.4664,2,0,Aile Paketi,RISKLI_KAYIP
SUB-00785,259.83,15.61,217,0.269,0.7127,1,4,Genç Tarife,YUKSEK_DEGER
SUB-00786,179.96,15.64,324,0.0494,0.183,2,1,Öğrenci Tarifesi,BELIRSIZ
SUB-00787,133.35,29.48,293,0.3348,0.5153,1,3,Premium Tarife,BELIRSIZ
SUB-00788,92.15,2.85,817,0.2514,0.4687,3,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00789,43.94,11.12,221,0.1809,0.299,0,0,Öğrenci Tarifesi,PASIF
SUB-00790,248.68,7.04,555,0.1661,0.4176,1,0,Aile Paketi,YUKSEK_DEGER
SUB-00791,109.44,51.67,366,0.3805,0.2871,1,1,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00792,52.98,33.25,694,0.6213,0.608,2,1,Premium Tarife,RISKLI_KAYIP
SUB-00793,90.41,11.47,969,0.1196,0.2499,0,1,Aile Paketi,RISKLI_KAYIP
SUB-00794,191.18,5.05,362,0.1407,0.2462,2,2,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00795,169.16,6.32,100,0.4171,0.2374,0,2,Standart Tarife,RISKLI_KAYIP
SUB-00796,70.16,29.22,165,0.4599,0.5947,0,2,Genç Tarife,RISKLI_KAYIP
SUB-00797,273.73,4.13,136,0.5333,0.5925,2,3,Standart Tarife,YUKSEK_DEGER
SUB-00798,52.45,15.78,280,0.1283,0.4002,1,4,Aile Paketi,BELIRSIZ
SUB-00799,305.59,26.21,250,0.3877,0.5122,2,2,Genç Tarife,YUKSEK_DEGER
SUB-00800,164.91,5.81,444,0.3553,0.2337,3,0,Öğrenci Tarifesi,BELIRSIZ
SUB-00801,114.83,15.67,661,0.2664,0.4211,2,5,Aile Paketi,BELIRSIZ
SUB-00802,125.15,11.61,91,0.551,0.4157,2,2,Genç Tarife,RISKLI_KAYIP
SUB-00803,153.84,10.52,385,0.3077,0.5248,3,1,Standart Tarife,BELIRSIZ
SUB-00804,199.84,9.22,225,0.0819,0.5671,0,3,Premium Tarife,BELIRSIZ
SUB-00805,37.96,27.63,394,0.6379,0.1981,1,2,Genç Tarife,BELIRSIZ
SUB-00806,88.44,37.75,281,0.0696,0.574,2,0,Öğrenci Tarifesi,BELIRSIZ
SUB-00807,150.89,12.97,594,0.2689,0.4743,0,1,Genç Tarife,RISKLI_KAYIP
SUB-00808,279.6,20.01,174,0.5456,0.5871,1,3,Genç Tarife,YUKSEK_DEGER
SUB-00809,273.65,15.92,236,0.226,0.2909,3,2,Standart Tarife,YUKSEK_DEGER
SUB-00810,340.91,3.23,346,0.1026,0.4652,1,1,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00811,266.33,12.6,301,0.2143,0.5538,0,1,Aile Paketi,YUKSEK_DEGER
SUB-00812,83.99,2.64,344,0.5363,0.3409,1,2,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00813,145.14,10.9,111,0.1134,0.2372,2,1,Genç Tarife,YUKSEK_DEGER
SUB-00814,267.23,15.37,882,0.4122,0.8023,2,1,Premium Tarife,YUKSEK_DEGER
SUB-00815,252.67,24.87,266,0.4331,0.4031,1,2,Standart Tarife,RISKLI_KAYIP
SUB-00816,129.11,18.82,183,0.2105,0.2927,3,1,Premium Tarife,BELIRSIZ
SUB-00817,196.65,28.09,351,0.2524,0.6089,2,3,Genç Tarife,YUKSEK_DEGER
SUB-00818,109.05,8.09,387,0.5929,0.5112,1,0,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00819,49.33,34.78,1116,0.6369,0.2072,1,2,Aile Paketi,RISKLI_KAYIP
SUB-00820,136.22,37.78,727,0.349,0.5055,2,5,Premium Tarife,RISKLI_KAYIP
SUB-00821,131.2,2.5,297,0.4998,0.2487,1,0,Premium Tarife,BELIRSIZ
SUB-00822,105.71,3.91,999,0.2412,0.6173,1,4,Aile Paketi,PASIF
SUB-00823,200.3,15.11,883,0.008,0.3788,3,1,Genç Tarife,BELIRSIZ
SUB-00824,126.44,10.3,184,0.1233,0.3927,1,3,Premium Tarife,YUKSEK_DEGER
SUB-00825,184.4,11.54,1272,0.31,0.1996,0,1,Aile Paketi,BELIRSIZ
SUB-00826,225.08,18.7,269,0.6833,0.5745,2,1,Standart Tarife,RISKLI_KAYIP
SUB-00827,482.47,28.81,417,0.7492,0.4821,2,3,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00828,137.64,7.76,802,0.3288,0.4098,5,1,Standart Tarife,BELIRSIZ
SUB-00829,281.8,31.91,92,0.1218,0.5754,0,0,Premium Tarife,YENI_ABONE
SUB-00830,167.72,9.09,344,0.0458,0.6971,4,1,Aile Paketi,BELIRSIZ
SUB-00831,173.48,56.03,460,0.4013,0.5738,1,3,Standart Tarife,YUKSEK_DEGER
SUB-00832,138.79,34.94,711,0.205,0.3541,2,1,Standart Tarife,BELIRSIZ
SUB-00833,159.14,9.82,375,0.2104,0.6366,1,2,Öğrenci Tarifesi,BELIRSIZ
SUB-00834,127.17,5.15,93,0.1709,0.1821,1,0,Standart Tarife,BELIRSIZ
SUB-00835,254.57,9.65,1111,0.4825,0.1775,0,0,Aile Paketi,YENI_ABONE
SUB-00836,90.65,8.65,384,0.3038,0.1342,1,1,Aile Paketi,BELIRSIZ
SUB-00837,48.96,22.88,471,0.1323,0.4496,1,1,Aile Paketi,BELIRSIZ
SUB-00838,103.47,2.57,121,0.172,0.3646,1,0,Öğrenci Tarifesi,BELIRSIZ
SUB-00839,96.4,3.95,860,0.2608,0.691,1,3,Premium Tarife,PASIF
SUB-00840,103.44,22.46,272,0.2744,0.2882,1,1,Öğrenci Tarifesi,BELIRSIZ
SUB-00841,134.33,8.37,226,0.51,0.543,1,3,Standart Tarife,RISKLI_KAYIP
SUB-00842,103.69,11.01,745,0.2198,0.5564,5,3,Standart Tarife,BELIRSIZ
SUB-00843,133.16,26.14,133,0.0865,0.4287,1,2,Standart Tarife,YUKSEK_DEGER
SUB-00844,103.89,29.63,476,0.0924,0.1967,2,1,Öğrenci Tarifesi,BELIRSIZ
SUB-00845,186.68,33.88,221,0.0866,0.3402,2,1,Premium Tarife,BELIRSIZ
SUB-00846,480.02,24.73,512,0.3725,0.6741,1,1,Standart Tarife,YUKSEK_DEGER
SUB-00847,165.73,13.41,599,0.8297,0.6626,1,2,Genç Tarife,RISKLI_KAYIP
SUB-00848,106.67,12.61,265,0.3827,0.6209,1,2,Standart Tarife,BELIRSIZ
SUB-00849,21.26,11.57,829,0.4426,0.2423,2,4,Aile Paketi,RISKLI_KAYIP
SUB-00850,392.56,5.83,384,0.2571,0.4284,2,3,Standart Tarife,YUKSEK_DEGER
SUB-00851,171.26,7.51,1121,0.1459,0.7039,2,1,Premium Tarife,YENI_ABONE
SUB-00852,132.43,31.11,751,0.0998,0.1975,2,2,Öğrenci Tarifesi,BELIRSIZ
SUB-00853,22.52,9.04,413,0.2121,0.2927,1,3,Premium Tarife,PASIF
SUB-00854,136.74,5.87,411,0.5985,0.3184,0,4,Premium Tarife,RISKLI_KAYIP
SUB-00855,158.33,32.77,144,0.2647,0.2205,3,3,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00856,104.14,17.93,745,0.3521,0.4505,2,1,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00857,56.31,43.06,247,0.3671,0.2514,2,2,Aile Paketi,RISKLI_KAYIP
SUB-00858,53.54,40.22,443,0.0467,0.4189,1,3,Öğrenci Tarifesi,BELIRSIZ
SUB-00859,396.04,6.31,1115,0.1623,0.5653,1,1,Genç Tarife,YUKSEK_DEGER
SUB-00860,155.61,14.42,820,0.2243,0.292,0,4,Standart Tarife,BELIRSIZ
SUB-00861,104.08,7.06,193,0.3435,0.4896,1,3,Standart Tarife,BELIRSIZ
SUB-00862,150.06,7.01,386,0.2139,0.4087,1,0,Standart Tarife,YUKSEK_DEGER
SUB-00863,143.91,11.32,472,0.5753,0.2051,1,3,Standart Tarife,RISKLI_KAYIP
SUB-00864,51.54,23.33,882,0.209,0.582,0,3,Genç Tarife,PASIF
SUB-00865,245.1,23.42,803,0.1265,0.6319,3,1,Aile Paketi,YUKSEK_DEGER
SUB-00866,130.29,21.54,551,0.3887,0.5153,1,0,Aile Paketi,BELIRSIZ
SUB-00867,156.9,13.38,519,0.3781,0.43,1,4,Premium Tarife,YUKSEK_DEGER
SUB-00868,323.4,24.25,381,0.6374,0.6785,0,2,Premium Tarife,YUKSEK_DEGER
SUB-00869,57.58,5.79,463,0.6154,0.5724,1,1,Genç Tarife,RISKLI_KAYIP
SUB-00870,87.51,18.13,323,0.0647,0.2537,3,1,Aile Paketi,BELIRSIZ
SUB-00871,176.7,15.71,635,0.3981,0.5131,1,3,Premium Tarife,RISKLI_KAYIP
SUB-00872,242.36,12.8,536,0.5739,0.4737,1,3,Standart Tarife,YUKSEK_DEGER
SUB-00873,97.8,18.61,728,0.1677,0.4314,0,1,Aile Paketi,BELIRSIZ
SUB-00874,101.5,2.33,716,0.6191,0.3922,1,0,Standart Tarife,RISKLI_KAYIP
SUB-00875,210.7,7.17,247,0.2256,0.1692,2,2,Genç Tarife,YUKSEK_DEGER
SUB-00876,459.15,22.11,56,0.0999,0.7863,1,2,Aile Paketi,YUKSEK_DEGER
SUB-00877,153.08,15.43,233,0.2329,0.3866,1,0,Premium Tarife,BELIRSIZ
SUB-00878,87.33,4.31,461,0.2059,0.5436,3,1,Aile Paketi,YUKSEK_DEGER
SUB-00879,70.73,15.18,324,0.2448,0.3316,3,4,Premium Tarife,RISKLI_KAYIP
SUB-00880,134.09,10.38,314,0.5077,0.2301,0,2,Standart Tarife,BELIRSIZ
SUB-00881,236.05,31.61,223,0.0657,0.2453,2,0,Premium Tarife,YUKSEK_DEGER
SUB-00882,571.39,6.16,503,0.3755,0.5464,3,1,Genç Tarife,YUKSEK_DEGER
SUB-00883,120.47,6.35,95,0.1425,0.5891,0,1,Premium Tarife,RISKLI_KAYIP
SUB-00884,153.23,20.24,549,0.0661,0.5456,2,1,Öğrenci Tarifesi,YENI_ABONE
SUB-00885,359.46,13.76,555,0.2736,0.5664,2,1,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00886,174.98,13.29,718,0.4679,0.3944,1,2,Genç Tarife,RISKLI_KAYIP
SUB-00887,166.41,56.23,1923,0.0797,0.2361,0,2,Öğrenci Tarifesi,BELIRSIZ
SUB-00888,321.11,23.86,49,0.4059,0.3725,3,3,Standart Tarife,YUKSEK_DEGER
SUB-00889,155.41,12.09,539,0.1037,0.4263,4,2,Öğrenci Tarifesi,BELIRSIZ
SUB-00890,74.89,3.82,608,0.3565,0.4014,0,1,Genç Tarife,PASIF
SUB-00891,284.8,11.59,234,0.3506,0.4917,1,6,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00892,45.11,5.63,339,0.2399,0.2063,2,0,Genç Tarife,PASIF
SUB-00893,258.09,7.55,275,0.3425,0.5449,2,3,Premium Tarife,BELIRSIZ
SUB-00894,145.96,7.76,561,0.0358,0.4285,0,1,Standart Tarife,BELIRSIZ
SUB-00895,121.28,30.01,767,0.0425,0.1571,1,4,Aile Paketi,BELIRSIZ
SUB-00896,119.32,4.65,160,0.0644,0.3886,0,2,Premium Tarife,BELIRSIZ
SUB-00897,133.77,28.09,507,0.1983,0.358,1,5,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00898,110.37,20.87,865,0.5805,0.501,1,1,Premium Tarife,RISKLI_KAYIP
SUB-00899,190.1,20.66,246,0.2941,0.1532,0,0,Standart Tarife,YENI_ABONE
SUB-00900,112.87,7.31,38,0.4377,0.2208,1,3,Öğrenci Tarifesi,BELIRSIZ
SUB-00901,32.95,25.7,204,0.2052,0.5936,3,3,Standart Tarife,BELIRSIZ
SUB-00902,146.62,6.62,187,0.0342,0.1916,0,4,Premium Tarife,YUKSEK_DEGER
SUB-00903,31.22,38.16,212,0.1995,0.1494,3,0,Öğrenci Tarifesi,BELIRSIZ
SUB-00904,146.03,30.47,1104,0.2939,0.5695,2,0,Öğrenci Tarifesi,YENI_ABONE
SUB-00905,108.95,42.36,1259,0.415,0.3378,2,2,Premium Tarife,RISKLI_KAYIP
SUB-00906,247.39,15.77,934,0.241,0.5051,0,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00907,124.47,13.76,319,0.152,0.4987,1,4,Aile Paketi,YUKSEK_DEGER
SUB-00908,227.17,11.36,956,0.0575,0.52,2,3,Genç Tarife,YUKSEK_DEGER
SUB-00909,212.51,55.48,57,0.3665,0.5482,0,3,Standart Tarife,BELIRSIZ
SUB-00910,215.89,23.19,179,0.1465,0.3598,1,1,Premium Tarife,YUKSEK_DEGER
SUB-00911,127.25,5.69,645,0.1496,0.5081,2,3,Genç Tarife,YUKSEK_DEGER
SUB-00912,151.88,35.39,262,0.3042,0.5434,2,1,Öğrenci Tarifesi,BELIRSIZ
SUB-00913,187.15,13.38,161,0.4308,0.333,1,4,Standart Tarife,YUKSEK_DEGER
SUB-00914,154.71,1.16,497,0.1915,0.5723,2,0,Aile Paketi,BELIRSIZ
SUB-00915,124.64,8.63,505,0.0715,0.546,1,2,Aile Paketi,PASIF
SUB-00916,79.73,30.45,537,0.1463,0.4414,1,4,Öğrenci Tarifesi,YENI_ABONE
SUB-00917,147.66,20.92,577,0.2674,0.4196,0,1,Standart Tarife,RISKLI_KAYIP
SUB-00918,49.1,23.76,481,0.2309,0.4281,2,1,Aile Paketi,BELIRSIZ
SUB-00919,29.22,35.17,362,0.1513,0.4964,1,0,Genç Tarife,BELIRSIZ
SUB-00920,67.41,3.21,408,0.0791,0.3569,4,0,Genç Tarife,PASIF
SUB-00921,214.45,8.71,650,0.3016,0.5312,1,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00922,168.44,16.02,470,0.2127,0.3677,1,2,Standart Tarife,BELIRSIZ
SUB-00923,215.69,31.04,283,0.477,0.2857,5,1,Genç Tarife,YUKSEK_DEGER
SUB-00924,92.89,6.59,231,0.0405,0.2822,1,0,Premium Tarife,BELIRSIZ
SUB-00925,261.8,12.04,405,0.1996,0.2278,1,2,Premium Tarife,YUKSEK_DEGER
SUB-00926,53.58,15.31,863,0.2975,0.4146,0,3,Genç Tarife,RISKLI_KAYIP
SUB-00927,69.23,8.37,582,0.2358,0.184,2,2,Aile Paketi,RISKLI_KAYIP
SUB-00928,259.21,15.19,891,0.3265,0.4551,3,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00929,161.25,13.71,315,0.1577,0.2548,1,0,Genç Tarife,YUKSEK_DEGER
SUB-00930,216.44,10.19,447,0.1547,0.5673,2,4,Aile Paketi,YUKSEK_DEGER
SUB-00931,168.86,25.66,492,0.5056,0.5482,1,1,Standart Tarife,YUKSEK_DEGER
SUB-00932,101.77,22.68,669,0.3033,0.1969,1,3,Aile Paketi,RISKLI_KAYIP
SUB-00933,63.42,26.41,316,0.4214,0.5137,2,2,Premium Tarife,RISKLI_KAYIP
SUB-00934,36.11,27.95,581,0.4924,0.236,2,0,Standart Tarife,RISKLI_KAYIP
SUB-00935,376.51,40.89,833,0.2323,0.4162,2,1,Standart Tarife,YUKSEK_DEGER
SUB-00936,43.73,4.16,375,0.3353,0.167,0,3,Premium Tarife,PASIF
SUB-00937,315.06,4.61,210,0.1744,0.4917,1,1,Premium Tarife,YUKSEK_DEGER
SUB-00938,155.97,24.23,850,0.5168,0.4691,0,0,Aile Paketi,YENI_ABONE
SUB-00939,171.95,10.92,615,0.5677,0.4163,3,2,Premium Tarife,RISKLI_KAYIP
SUB-00940,165.34,9.89,132,0.3239,0.5463,1,4,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00941,201.03,8.77,381,0.0848,0.5886,2,2,Premium Tarife,BELIRSIZ
SUB-00942,86.97,27.02,1144,0.3806,0.5368,3,1,Standart Tarife,BELIRSIZ
SUB-00943,25.74,53.27,552,0.0996,0.4581,0,2,Öğrenci Tarifesi,PASIF
SUB-00944,100.39,27.86,405,0.3756,0.5633,1,2,Genç Tarife,BELIRSIZ
SUB-00945,191.23,10.55,190,0.1927,0.4723,1,1,Öğrenci Tarifesi,BELIRSIZ
SUB-00946,69.71,26.13,190,0.3236,0.2931,2,2,Aile Paketi,BELIRSIZ
SUB-00947,265.46,4.48,643,0.0729,0.5233,1,3,Genç Tarife,BELIRSIZ
SUB-00948,135.3,13.02,203,0.0475,0.3165,1,2,Aile Paketi,BELIRSIZ
SUB-00949,65.16,3.21,494,0.1698,0.5115,4,0,Premium Tarife,PASIF
SUB-00950,160.3,10.94,374,0.2484,0.6323,1,5,Öğrenci Tarifesi,BELIRSIZ
SUB-00951,189.36,17.27,475,0.1637,0.4554,2,0,Premium Tarife,YUKSEK_DEGER
SUB-00952,197.39,59.51,353,0.2841,0.5607,2,2,Aile Paketi,BELIRSIZ
SUB-00953,15.0,32.66,536,0.4,0.1597,1,0,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00954,259.38,3.28,716,0.0676,0.339,1,1,Premium Tarife,YUKSEK_DEGER
SUB-00955,50.46,3.6,357,0.0195,0.2452,2,2,Standart Tarife,BELIRSIZ
SUB-00956,259.58,8.42,677,0.3415,0.3247,2,0,Standart Tarife,BELIRSIZ
SUB-00957,273.23,45.77,915,0.1534,0.719,1,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00958,63.52,3.44,491,0.0278,0.5092,2,3,Aile Paketi,BELIRSIZ
SUB-00959,72.96,8.82,633,0.0443,0.2069,1,1,Premium Tarife,PASIF
SUB-00960,222.77,8.78,161,0.3014,0.5928,2,0,Genç Tarife,YUKSEK_DEGER
SUB-00961,113.32,20.22,362,0.2143,0.4421,1,0,Genç Tarife,BELIRSIZ
SUB-00962,296.22,26.57,120,0.332,0.4612,3,1,Standart Tarife,YUKSEK_DEGER
SUB-00963,343.08,22.83,278,0.2429,0.6345,0,1,Standart Tarife,YUKSEK_DEGER
SUB-00964,65.1,18.31,365,0.2361,0.3265,1,1,Öğrenci Tarifesi,PASIF
SUB-00965,85.81,4.3,1203,0.4054,0.334,3,2,Aile Paketi,BELIRSIZ
SUB-00966,155.35,16.36,233,0.5773,0.6299,0,1,Genç Tarife,RISKLI_KAYIP
SUB-00967,25.06,35.81,392,0.1262,0.1016,1,3,Öğrenci Tarifesi,BELIRSIZ
SUB-00968,37.02,43.64,203,0.3059,0.5415,0,2,Genç Tarife,YENI_ABONE
SUB-00969,79.23,19.85,345,0.2043,0.2915,0,1,Premium Tarife,BELIRSIZ
SUB-00970,409.78,3.31,542,0.3477,0.624,1,0,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00971,169.83,20.08,597,0.2053,0.5482,3,1,Aile Paketi,YUKSEK_DEGER
SUB-00972,95.42,13.68,314,0.5762,0.4057,0,0,Öğrenci Tarifesi,YENI_ABONE
SUB-00973,72.55,3.85,258,0.542,0.2288,1,1,Aile Paketi,RISKLI_KAYIP
SUB-00974,63.0,6.26,987,0.4219,0.4197,1,1,Aile Paketi,RISKLI_KAYIP
SUB-00975,100.08,7.3,299,0.1177,0.3995,2,3,Genç Tarife,BELIRSIZ
SUB-00976,96.33,24.29,68,0.0375,0.4678,1,2,Standart Tarife,BELIRSIZ
SUB-00977,126.46,42.47,836,0.4241,0.4387,0,1,Aile Paketi,RISKLI_KAYIP
SUB-00978,194.69,21.84,84,0.6442,0.2428,2,2,Aile Paketi,RISKLI_KAYIP
SUB-00979,138.85,24.81,837,0.393,0.4073,1,4,Genç Tarife,BELIRSIZ
SUB-00980,230.47,14.39,122,0.3474,0.6039,0,3,Genç Tarife,YUKSEK_DEGER
SUB-00981,120.81,9.77,143,0.2006,0.4992,1,2,Aile Paketi,YUKSEK_DEGER
SUB-00982,357.91,22.25,175,0.2143,0.2976,1,0,Genç Tarife,YUKSEK_DEGER
SUB-00983,227.25,18.48,282,0.4247,0.4362,1,1,Aile Paketi,YUKSEK_DEGER
SUB-00984,167.06,7.88,842,0.2226,0.236,0,2,Standart Tarife,BELIRSIZ
SUB-00985,195.08,17.63,179,0.1896,0.5716,2,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00986,101.87,15.08,541,0.1973,0.2921,2,2,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00987,125.17,11.97,468,0.0365,0.4806,3,3,Premium Tarife,BELIRSIZ
SUB-00988,122.14,9.5,417,0.0969,0.3079,2,1,Aile Paketi,BELIRSIZ
SUB-00989,87.99,19.83,748,0.2275,0.1434,2,2,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00990,55.28,10.0,440,0.1935,0.2574,3,3,Premium Tarife,BELIRSIZ
SUB-00991,201.3,53.32,462,0.1893,0.4303,0,3,Standart Tarife,YUKSEK_DEGER
SUB-00992,251.55,21.34,630,0.5173,0.4625,2,0,Aile Paketi,YUKSEK_DEGER
SUB-00993,184.77,20.06,289,0.489,0.6995,0,2,Premium Tarife,YUKSEK_DEGER
SUB-00994,138.6,13.28,395,0.5641,0.5275,0,0,Standart Tarife,YENI_ABONE
SUB-00995,448.95,11.18,491,0.2675,0.7799,1,1,Premium Tarife,YUKSEK_DEGER
SUB-00996,94.62,2.57,704,0.3413,0.1537,1,0,Standart Tarife,BELIRSIZ
SUB-00997,170.47,8.32,362,0.2772,0.3771,5,3,Standart Tarife,YUKSEK_DEGER
SUB-00998,272.37,3.24,390,0.2434,0.3615,1,1,Standart Tarife,YUKSEK_DEGER
SUB-00999,67.8,3.19,533,0.4633,0.5542,2,1,Genç Tarife,PASIF
SUB-01000,210.34,5.46,366,0.2138,0.2232,3,3,Genç Tarife,BELIRSIZ
SUB-01001,371.19,33.41,237,0.1277,0.4227,1,1,Aile Paketi,YUKSEK_DEGER
SUB-01002,145.75,33.3,629,0.2393,0.1738,1,5,Standart Tarife,YUKSEK_DEGER
SUB-01003,161.44,8.48,441,0.4307,0.4174,2,1,Standart Tarife,RISKLI_KAYIP
SUB-01004,95.0,4.21,305,0.3318,0.2488,0,0,Premium Tarife,BELIRSIZ
SUB-01005,193.77,10.8,174,0.22,0.5995,2,1,Standart Tarife,YUKSEK_DEGER
SUB-01006,86.54,24.13,85,0.1601,0.541,2,0,Genç Tarife,BELIRSIZ
SUB-01007,140.49,29.05,550,0.2963,0.3543,0,1,Aile Paketi,BELIRSIZ
SUB-01008,50.21,17.45,233,0.4912,0.4528,1,3,Standart Tarife,RISKLI_KAYIP
SUB-01009,15.12,19.66,116,0.2262,0.3597,1,0,Premium Tarife,BELIRSIZ
SUB-01010,107.78,18.36,213,0.1191,0.5912,1,3,Standart Tarife,BELIRSIZ
SUB-01011,106.66,3.48,489,0.4515,0.6343,0,4,Aile Paketi,RISKLI_KAYIP
SUB-01012,113.83,4.61,232,0.1646,0.3125,1,2,Genç Tarife,BELIRSIZ
SUB-01013,223.3,43.59,496,0.6775,0.1887,0,2,Premium Tarife,RISKLI_KAYIP
SUB-01014,255.61,17.39,268,0.2831,0.2869,2,0,Aile Paketi,YUKSEK_DEGER
SUB-01015,174.75,1.93,393,0.073,0.2642,2,3,Premium Tarife,YUKSEK_DEGER
SUB-01016,214.29,20.49,416,0.3172,0.449,1,3,Genç Tarife,YUKSEK_DEGER
SUB-01017,88.23,7.01,608,0.08,0.388,0,3,Standart Tarife,BELIRSIZ
SUB-01018,74.26,30.6,620,0.1551,0.3732,1,0,Öğrenci Tarifesi,BELIRSIZ
SUB-01019,196.09,28.48,402,0.1112,0.4237,1,2,Genç Tarife,BELIRSIZ
SUB-01020,67.16,23.23,197,0.2216,0.2063,0,2,Premium Tarife,BELIRSIZ
SUB-01021,61.88,17.25,798,0.3406,0.4139,3,4,Standart Tarife,RISKLI_KAYIP
SUB-01022,582.1,35.53,300,0.6225,0.7095,4,2,Premium Tarife,YUKSEK_DEGER
SUB-01023,151.55,37.89,45,0.1224,0.1472,1,2,Standart Tarife,YUKSEK_DEGER
SUB-01024,106.7,7.17,478,0.5518,0.4089,1,4,Aile Paketi,RISKLI_KAYIP
SUB-01025,98.92,23.06,490,0.1515,0.275,0,1,Standart Tarife,BELIRSIZ
SUB-01026,51.31,9.59,309,0.0984,0.6095,2,0,Genç Tarife,BELIRSIZ
SUB-01027,172.56,6.31,123,0.5352,0.4858,2,3,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-01028,120.63,37.87,101,0.4174,0.6619,1,1,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-01029,251.47,25.6,325,0.36,0.6592,3,4,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-01030,199.68,18.27,183,0.3115,0.6239,2,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-01031,118.03,7.77,702,0.6437,0.1884,1,2,Standart Tarife,RISKLI_KAYIP
SUB-01032,31.1,38.59,316,0.3006,0.3844,1,0,Standart Tarife,PASIF
SUB-01033,151.8,6.92,290,0.2432,0.2874,1,3,Standart Tarife,BELIRSIZ
SUB-01034,143.59,5.64,1128,0.2924,0.3131,1,6,Aile Paketi,BELIRSIZ
SUB-01035,25.74,15.12,53,0.2489,0.3551,1,2,Premium Tarife,PASIF
SUB-01036,186.37,24.12,391,0.2015,0.5867,2,0,Aile Paketi,YUKSEK_DEGER
SUB-01037,65.54,11.64,88,0.0556,0.5278,1,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-01038,258.99,120.0,849,0.3134,0.4823,1,1,Premium Tarife,RISKLI_KAYIP
SUB-01039,138.27,17.05,114,0.3127,0.3904,1,3,Öğrenci Tarifesi,BELIRSIZ
SUB-01040,97.09,9.56,503,0.735,0.35,1,0,Premium Tarife,RISKLI_KAYIP
SUB-01041,164.9,10.43,458,0.2656,0.6571,2,3,Standart Tarife,YUKSEK_DEGER
SUB-01042,158.83,46.77,86,0.3686,0.4951,0,2,Premium Tarife,YUKSEK_DEGER
